Fire ball that came towards us, dimmed, then shot in opposite direction before dissapearing.;2006-10-25 21:00:00;5 minutes;Fire ball that came towards us, dimmed, then shot in opposite direction before dissapearing.;28.5259654888028;-81.3859872200964
It is a ufo.;2012-03-26 00:37:00;1 hour;it is a ufo  i went outside to have a smoke i look up i see what it appear to be a star.  i look very good is not a star look more like a fireball / blinking lights red blue orange and even flashes.  i have a second smoke 40 min later its gone. the rest of the star above where still there ((NUFORC Note:  Witness elects to remain totally anonymous provides little contact information.  PD));28.5259654888028;-81.3859872200964
Orange balls gliding through the sky over Orlando;2012-11-13 17:10:00;7-10 minutes;Orange balls gliding through the sky over Orlando I was walking my dog on the evening of November 13, 2012 at approximately 6:10pm when I saw this orange ball in the sky and thought it looked odd.  I live near Orlando International Airport so I know what planes look like at night.  This was not a jet plane.  I stopped to watch it and then I saw several more orange balls gliding from the north looking as if they were following each other.  Then several more came so I ran inside for my camera.  I took some pictures but they don’t do what I saw justice.  It looked like someone was tossing these balls into the atmosphere because they just gliding by, not far from the tree tops, and made no noise.  They were beautiful and I stood there in amazement watching them.  I can’t explain what they are but I know what I saw.  They were following each other sometimes just one and sometimes in a group of three.  They followed each other out to the west.  I am a pet groomer in Orlando and am always out with my dogs.  I have never seen anything like this before and I watch the jets coming and going all the time.;28.5259654888028;-81.3859872200964
Orange Fireballs in Southern Sky, Orlando, Florida;2013-01-01 20:35:00;2-3 minutes;Orange Fireballs in Southern Sky, Orlando, Florida On 1/1/2013, @ approx  2035 hrs I observed 5 or 6 orange glowing objects in the southern sky (S to SSE). I live in Eastern Orange County, Fl, approx 12 miles east of the Orlando Intl Airport (OIA) in a rural type area.  The objects appeared in a somewhat vertical line but were staggered behind each other at different altitudes and fairly low on the horizon.  It appeared as if the objects were floating or traveling slowly to the north.  These objects appeared to be lower than the air traffic in the area that was departing from OIA.   The air traffic appeared to be initially departing to the south and then turning crosswind to the east and then turning toward a north departure from the Orlando area.  It was very apparent that the orange glowing objects were not aircraft.  I watched the objects for approx 1 min and the ran into the house to get my wife and son.  Upon returning to the front yard, we saw 3 remaining orange glowing objects in the sky.  Apparently the other! 2 or 3 objects had disappeared.  Two of the three remaining glowing objects faded quickly while heading in a easterly direction.  The last object continued to glow but slowly faded as it traveled in an easterly direction and it appeared to gain altitude until it was out of sight.;28.5259654888028;-81.3859872200964
Orlando Florida Glowing Orange Balls About 90 seconds 6 orange balls traveling across sky East to West.;2013-01-12 16:45:00;~90 seconds;Orlando Florida Glowing Orange Balls About 90 seconds 6 orange balls traveling across sky East to West Saturday, January 12, 2013.   About 16:45 Orlando, FL 32812   I saw two groups of three each large orange glowing balls travel across the sky from East to West. While they were in two groups, they didn't appear to flying in a tight type of formation such as military craft would.  As they reached the Western area, they began to fade quickly until they were no longer visible.  They didn't appear to speed off but, rather fade away from bright orange to gone. They were moving very fast across the sky. It took only about one minute or so to travel across my field of view from East horizon to West horizon.  However, I still got a good sustained view.  They appeared to be large and low in the sky.  The location is in the flight path of Orlando International Airport and I watch planes every day and night.   I have never seen anything even close to looking like these. I heard Peter on Coast to Coast AM talking about sightings like this in other areas of Florida.  I would put this sighting in that same category.;28.5259654888028;-81.3859872200964
Four Fireballs in Formation over Orlando;2013-08-02 01:30:00;<2 Minutes;Four Fireballs in Formation over Orlando I live 3 miles NW of where the Turnpike and I-4 meet.  As I was driving South around 1:30am this morning I noticed an orange/red fireball in the sky towards where the Turnpike and I-4 meet.  It was circular, almost oval in shape and was traveling North.   At first I thought it was a plane  but it slowed down and looked like it was on fire.  I called my roommate who was at home to look outside as I had just left.  Then I noticed another one in the distance.   As I drove a few more feet, I saw two more.  I wanted to take a picture but was not able to.  I turned West, and as I looked behind I could see they were in a perfect square formation, hovering without movement.   When I returned ten minutes later, they were no longer there.  Upon my return, I did see a helicopter flying in almost the same path as the fireballs.  However, the sheriff helicopters fly around my area at least 4 times a week due to crime rate.;28.5259654888028;-81.3859872200964
An orange burning globe floated across the eastern sky in Orlando, Florida at 22:06 on 8/16/2013.;2013-08-16 22:06:00;3 minutes;An orange burning globe floated across the eastern sky in Orlando, Florida at 22:06 on 8/16/2013. At approximately 22:06 on 08/16/13, tonight, I was driving in my neighborhood and talking to a friend on my cellphone.  As I was driving east in my neighborhood I saw an orange globe floating across the eastern sky at a medium slow speed.   At first I thought it might have been aircraft, but it looked so odd to me that I pulled over, shut my engine off, and got out of the car to listen and see if it made any noise in the sky.  It was completely silent which is not conducive to low flying aircraft or helicopters here in Orlando being somewhat near the airports.  This ball had a burning glow effect and it was traveling medium slow.   As a star gazer for years growing up in a very rural area and now after living in Orlando for 5 years, I've never seen anything like it.  I almost wonder if it was some sort of a meteorite.   The night sky was very cloudy and the globe, or rather fireball, was very visible as it was flying beneath the clouds. It also did not blink, twinkle, or make any erratic movements.  I thought I saw a smoke like trail behind it, but I couldn't see that part of it as well, so I'm not certain.;28.5259654888028;-81.3859872200964
3 Glowing Orange orbs.;2013-11-28 22:40:00;5 minutes;3 Glowing Orange orbs While leaving our Thanksgiving dinner party, we observed an orbital orange glowing object in the sky, moving fast but slow enough that we could observe it for a few minutes.  A second one followed the same path and then a third.   They seemed to be following each other and kept moving steadily away until we could no longer see it.  I have never seen anything like it before.   Definitely not an airplane or helicopter and the shape was hard to determine exactly.  Kind of cylindrical but out of focus because it was glowing.   This is a densely populated residential are (Hunters Creek). ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD));28.5259654888028;-81.3859872200964
3 dots floating down and dissapearing.;2013-12-02 05:51:00;6 minutes;3 dots floating down and dissapearing. There was a zig-zag cloud in the sky and then a multi-colored cloud appeared and then 2 lights turned into 3 and formed a circle around it.  They then floated down and dissapeared.   I am not sure if this was the Falcon 9 rocket exploding over Orlando that launched from Cape Canaveral or it was some kind of alien spacecraft.  My 2 friends and I saw it all together.  THIS IS REAL!!  If you live in the Conway area of Orlando you may have saw it too.;28.5259654888028;-81.3859872200964
Very bright fire ball visible moving from north to south at approximately 300 feet above the ground.;2013-12-25 20:00:00;5 minutes;Very bright fire ball visible moving from north to south at approximately 300 feet above the ground. Saw this UFO last night returning home from a Christmas dinner.  It was around 8pm in the Hunter's Creek area in south Orlando.  Very bright fire ball or bright object suddenly became visible above our car.  It was moving from north to south at approximately 300 feet above us.  Reddish outer glow with a very bright orange/yellow center.  Not a lantern and certainly not an airplane or helicopter.  Absolutely no sound.  I had to pull the car over to take a good look.  No camera or binoculars with me so I needed to take a very good look.  My wife and two kids in the car with me saw it and had no idea what it was.  Flew away slowly until it disappeared behind a cloud. I was up all night thinking about it and could not sleep.  I know what I saw. ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD));28.5259654888028;-81.3859872200964
3 reddish orange fireballs.;2014-08-01 22:15:00;5-7 minutes;3 reddish orange fireballs Reddish orange fireballs moving slowly E-W with no sounds;28.5259654888028;-81.3859872200964
Two fireballs pass, no sounds then dissapear in the clouds in laket picket area.;2014-10-19 21:14:00;1-2 minutes;Two fireballs pass, no sounds then dissapear in the clouds in laket picket area. Took my dog our at night.  Looked above my house an saw two bright orange stars coming towards me from behind house.  Went back in and got my wife to witness.  No sound at all as they flew by. One dissapeared n they other was visible til it dissapeared afar.  This was lake picket area not far from UCF.   I was truely amazed, hopefully I wasnt the only one to have seen this. Im a very sceptical person. Wow shocking ti me.;28.5259654888028;-81.3859872200964
Bright ascending orange and yellow fireball.;2015-01-09 04:30:00;1 minute;Bright ascending orange and yellow fireball. Bright orange and yellow fire ball ascending into the sky, over the course of a minute.  It then flew away slowly over land until either of the two twenty six year old witnesses were unable to see it in the distance.  The object was seen from Alafaya, but was clearly far into the Bithlo area.   As it flew it had a faint comet like aura around it.;28.5259654888028;-81.3859872200964
We was in the parking lot close to mco and a super orange bright light show up from the horizon disappearing way up... i know the patte;2015-03-01 22:14:00;2 minutes;We was in the parking lot close to mco and a super orange bright light show up from the horizon disappearing way up...  I know the pattern of flight of the airplane I lived her since 2010 and is a unusual route to se a craft... The weird thing looks like is coming from north-east (cape Canaveral) I check the nasa launch schedule and nothing come up for today....;28.5259654888028;-81.3859872200964
(4) fireball type objects moving westward in a formation ,then out of formation.Clearly not a helicopter,jet,rocket,missile or other.No;2015-05-03 01:35:00;1:00;(4) fireball type objects moving westward in a formation, then out of formation.  Clearly not a helicopter, jet, rocket, missile or other.  Not a shooting star or fireworks either.  Not a hot air balloon.  Clearly not something we are used to seeing. ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD));28.5259654888028;-81.3859872200964
Plasma ball of fire materializes at exactly same time as thought of previous UFO sighting.;2015-09-22 01:30:00;3-4 seconds;Plasma ball of fire materializes at exactly same time as thought of  previous UFO sighting I had been visiting with a friend who was staying at hotel very close to Sea World in Orlando.  We had been hanging out by the hotel pool.  My friend took my wife to show her where the restrooms were.  They weren't gone 2 minutes when I looked up at the sky and saw what appeared to be a ball of plasma or fire, yellow-orange in color.   The object seemed to materialize, travel a short distance and then de-materialize 3-4 seconds later.  It appeared to be approximately 1000 ft. high and about 500ft. In front of me to the North above FL-528 (Beachline).  It was moving to slow and low to be a meteor. Estimated size approximately 15-20 ft. In diameter.   Behind the object there seemed to be a disturbance in the atmosphere maybe 30 ft. long, and appeared to have a heat shimmer effect.  I don't believe it was ball lighting because there were no storms in the area and even humidity was relatively low for Orlando, this time of year. An interesting couple of notes to this sighting. This 'ball of plasma?' appeared at the exact moment in which I thought of a UFO sighting witnessed by a friend of mine that occurred in a neighborhood less than 2 miles from this one.   Also, there is a major defense/aerospace contractor located less than 2 miles from my sighting. I will send an image which I pulled off the internet that very closely represents the object that I witnessed.;28.5259654888028;-81.3859872200964
((HOAX??))  Fireball that hovered and shift into sky.  ((anonymous report));2016-05-05 01:00:00;2 minutes;fireball that hovered and shift into sky. We were driving west turning into our neighborhood when i had noticed a bright orangeish red light.  It hovered for a minute before it began to slowly rise up.  It looked as if it were on fire, hovering and it soon began to fade to a dull orange color and got smaller.   It then looked as if it shot off into the sky. ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD));28.5259654888028;-81.3859872200964
Observed an orange, low flying, fast moving, silent, fireball like obj. crossing the sky, E to W.  Moments later a second one followed.;2016-05-24 03:48:00;5-7 minutes;Observed an orange, low flying, fast moving, silent, fireball like object crossing the sky from east to west.  Moments later a second one appeared and followed.   About a minute later another one showed up and followed the same path.  No trail on any of the objects.;28.5259654888028;-81.3859872200964
I was outside on back porch and saw a bright red orange color looked like a fire ball or exploded something in the air it was eastward.;2016-12-07 07:00:00;45 seconds;I was outside on back porch and saw a bright red orange color looked like a fire ball or exploded something in the air it was eastward.  It was very bright and lit up the tops of some trees with an orange glow and made no noise.  There was no sound like fireworks or no sound like air crafts.  It became very bright and then went out.  I am not sure what it was. ((NUFORC Note:  Witness provides no contact information.  PD));28.5259654888028;-81.3859872200964
It was a round bright object.;2019-04-15 20:00:00;5 minute;It was a round bright object Look towards east coast and saw a bright round fireball.  The.  It moved and went sideways to the north.  I have video and pictures;28.5259654888028;-81.3859872200964
Orlando FireBall 2020;2020-11-25 22:00:00;10 mins;Orlando FireBall 2020 Complete fire ball streaking thru the sky around Americana/Rio grand... It the hovered like a star as what seemed like a jet trying to follow tricking the jet, Very bright Orange Yellow very very Real UFO r here Video is on my IG- Strainman_mosthigh;28.5259654888028;-81.3859872200964
